Question_ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Topic,Difficulty
1,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array,Beginner
2,Which operation is most efficient in an array?,Insertion at beginning,Deletion from middle,Searching an element,Random access,D,Linked List,Beginner
3,What is the space complexity of an array of size n?,O(1),O(log n),O(n),O(n²),C,Stack,Beginner
4,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),A,Queue,Beginner
5,"In a doubly linked list, each node contains how many pointers?",1,2,3,4,B,Sorting,Beginner
6,Time complexity of searching in an unsorted linked list is:,O(1),O(log n),O(n),O(n²),C,Searching,Beginner
7,Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,B,Tree,Beginner
8,What is the time complexity of push and pop operations in a stack?,O(n),O(log n),O(1),O(n²),C,BST,Beginner
9,In which application is stack NOT used?,Function call management,Expression evaluation,BFS traversal,Undo/Redo functionality,C,AVL Tree,Beginner
10,Which data structure follows FIFO principle?,Stack,Queue,Deque,Heap,B,Heap,Beginner
11,What is the time complexity of enqueue and dequeue in a simple queue?,O(n),O(1),O(log n),O(n²),B,Graph,Beginner
12,A circular queue is better than a simple queue because:,It uses less memory,It avoids the wastage of space,It is faster,It requires less code,B,Graph Traversal,Beginner
13,What is the average time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(2^n),B,Shortest Path,Intermediate
14,Which sorting algorithm is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,MST,Intermediate
15,Merge Sort has a time complexity of:,O(n),O(n log n),O(n²),O(n³),B,Hash Table,Intermediate
16,Bubble Sort is efficient for which case?,Already sorted data,Reverse sorted data,Random data,Large datasets,A,Dynamic Programming,Intermediate
17,What is the space complexity of Quick Sort?,O(1),O(log n),O(n),O(n²),B,Backtracking,Intermediate
18,Binary Search works on which type of array?,Unsorted,Sorted,Partially sorted,None of above,B,String Algorithms,Intermediate
19,Time complexity of Binary Search is:,O(n),O(log n),O(n log n),O(n²),B,Greedy,Intermediate
20,Linear Search has a time complexity of:,O(1),O(log n),O(n),O(n²),C,Divide and Conquer,Intermediate
21,What is a binary tree?,Tree with max 2 children,Tree with exactly 2 children,Tree with 3 children,Tree with 4 children,A,Array,Intermediate
22,Height of a tree with single node is:,0,1,2,-1,A,Linked List,Intermediate
23,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^(h+1) - 1,2^h,h²,B,Stack,Intermediate
24,"In a BST, for any node, left child is:",Greater than parent,Less than parent,Equal to parent,Any value,B,Queue,Intermediate
25,Time complexity of searching in a balanced BST is:,O(1),O(log n),O(n),O(n²),B,Sorting,Intermediate
26,Inorder traversal of a BST gives:,Sorted array,Reverse sorted array,Random order,Heap order,A,Searching,Intermediate
27,AVL tree is a:,Unbalanced BST,Self-balancing BST,Complete tree,Perfect tree,B,Tree,Intermediate
28,Balance factor in AVL tree is defined as:,Left height - Right height,Right height - Left height,Left height + Right height,Left height / Right height,A,BST,Intermediate
29,Height of an AVL tree with n nodes is:,O(n),O(log n),O(n log n),O(n²),B,AVL Tree,Intermediate
30,"In a min heap, the smallest element is at:",Leaf,Root,Middle,Random,B,Heap,Intermediate
31,Time complexity of insertion in a heap is:,O(1),O(log n),O(n),O(n²),B,Graph,Advanced
32,Heap sort time complexity is:,O(n),O(n log n),O(n²),O(2^n),B,Graph Traversal,Advanced
33,Adjacency matrix representation requires space of:,O(V),O(E),O(V²),O(V + E),C,Shortest Path,Advanced
34,Adjacency list representation requires space of:,O(V),O(V²),O(E),O(V + E),D,MST,Advanced
35,DFS uses which data structure?,Queue,Stack,Deque,Heap,B,Hash Table,Advanced
36,BFS uses which data structure?,Stack,Queue,Priority Queue,Deque,B,Dynamic Programming,Advanced
37,Time complexity of DFS and BFS is:,O(n),O(V + E),O(V²),O(E log V),B,Backtracking,Advanced
38,Dijkstra's algorithm is used for:,Negative weights,Positive weights,Unweighted graphs,None,B,String Algorithms,Advanced
39,Bellman-Ford can handle:,Only positive weights,Negative weights,Negative cycles,All graphs,B,Greedy,Advanced
40,Floyd-Warshall finds:,Shortest path between two nodes,All pairs shortest path,Minimum spanning tree,Topological sort,B,Divide and Conquer,Advanced
41,Kruskal's algorithm uses which approach?,Dynamic Programming,Greedy,Divide and Conquer,Backtracking,B,Array,Advanced
42,Prim's algorithm starts from:,A random vertex,A specific vertex,The minimum edge,None,B,Linked List,Advanced
43,Time complexity of Kruskal's algorithm is:,O(E log E),O(V log V),O(V + E),O(V²),A,Stack,Advanced
44,Hash table provides average time complexity of:,O(log n),O(n),O(1),O(n²),C,Queue,Advanced
45,Collision resolution technique is:,Linear Probing,Chaining,Double Hashing,All of above,D,Sorting,Advanced
46,DP is used when a problem has:,Overlapping subproblems,Optimal substructure,Both,Neither,C,Searching,Advanced
47,Memoization is:,Top-down approach,Bottom-up approach,Recursive approach,Iterative approach,A,Tree,Advanced
48,Tabulation is:,Top-down DP,Bottom-up DP,Recursive,None,B,BST,Advanced
49,Backtracking is used for:,N-Queens problem,Sudoku solver,Maze solving,All,D,AVL Tree,Advanced
50,Time complexity of backtracking can be:,O(n),O(n!),O(2^n),All of above,D,Heap,Advanced
51,KMP algorithm is used for:,Pattern matching,Sorting,Searching,Hashing,A,Graph,Advanced
52,Time complexity of KMP is:,O(n + m),O(n * m),O(n log m),O(m log n),A,Graph Traversal,Advanced
53,Rabin-Karp uses which concept?,Hashing,Sorting,Trees,Graphs,A,Shortest Path,Advanced
54,Greedy algorithms work when problem has:,Optimal substructure,Greedy choice property,Both,Neither,C,MST,Advanced
55,Activity selection uses:,Greedy,DP,Backtracking,Divide and Conquer,A,Hash Table,Advanced
56,Merge Sort uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Dynamic Programming,Advanced
57,Binary Search uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Backtracking,Advanced
58,Topological sorting is for:,Directed Acyclic Graph,Undirected graph,Weighted graph,Complete graph,A,String Algorithms,Advanced
59,Strongly Connected Components are found using:,DFS,BFS,Dijkstra,Prim's,A,Greedy,Advanced
60,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array,Beginner
61,Which operation is most efficient in an array?,Insertion at beginning,Deletion from middle,Searching an element,Random access,D,Linked List,Beginner
62,What is the space complexity of an array of size n?,O(1),O(log n),O(n),O(n²),C,Stack,Beginner
63,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),A,Queue,Beginner
64,"In a doubly linked list, each node contains how many pointers?",1,2,3,4,B,Sorting,Beginner
65,Time complexity of searching in an unsorted linked list is:,O(1),O(log n),O(n),O(n²),C,Searching,Beginner
66,Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,B,Tree,Beginner
67,What is the time complexity of push and pop operations in a stack?,O(n),O(log n),O(1),O(n²),C,BST,Beginner
68,In which application is stack NOT used?,Function call management,Expression evaluation,BFS traversal,Undo/Redo functionality,C,AVL Tree,Beginner
