Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What does AI stand for?,Artificial Intelligence,Automated Integration,Advanced Information,Application Interface,Option_1,Beginner
What is the main goal of Artificial Intelligence?,Create machines that can perform tasks requiring human-like intelligence,Replace all humans,Build robots only,Create video games,Option_1,Beginner
Which of the following is NOT a subfield of AI?,Machine Learning,Natural Language Processing,Computer Vision,Automotive Engineering,Option_4,Beginner
What is an intelligent agent in AI?,An entity that observes environment and takes actions,A person who sells AI,A robot,A software developer,Option_1,Beginner
What does Turing Test measure?,Machine's ability to exhibit intelligent behavior indistinguishable from human,Running speed,Memory capacity,Data processing,Option_1,Beginner
What is Machine Learning?,Subset of AI enabling systems to learn from data,Teaching humans to learn,Computer programming,Data storage,Option_1,Beginner
What are the three main types of Machine Learning?,"Supervised, Unsupervised, Reinforcement","Predictive, Preventive, Procedural","Input, Output, Process","Linear, Non-linear, Hybrid",Option_1,Beginner
What is supervised learning?,Learning from labeled training data,Learning without labels,Learning from experts,Learning through observation,Option_1,Beginner
What is unsupervised learning?,Finding patterns in unlabeled data,Learning with labels,Teaching by examples,Monitoring performance,Option_1,Beginner
What is reinforcement learning?,Agent learns by interacting with environment and receiving rewards/penalties,Learning from books,Supervised learning,Copying behavior,Option_1,Beginner
What is Linear Regression used for?,Predicting continuous numerical values,Classifying categories,Clustering data,Feature extraction,Option_1,Intermediate
What is Logistic Regression?,Classification algorithm for binary/multi-class problems,Predicting continuous values,Clustering technique,Feature scaling,Option_1,Intermediate
What is a Decision Tree?,Tree model that makes predictions through series of decisions,Data structure for storage,Search algorithm,Network topology,Option_1,Intermediate
What is Random Forest?,Ensemble method using multiple decision trees,Single decision tree,Classification only algorithm,Unsupervised method,Option_1,Intermediate
What is SVM (Support Vector Machine)?,Classifier finding optimal boundary between classes,Database management,Clustering algorithm,Regression method,Option_1,Intermediate
What is clustering in Machine Learning?,Grouping similar data points without labels,Separating classes,Supervised classification,Feature engineering,Option_1,Intermediate
What is K-Means clustering?,Algorithm partitioning data into K clusters,Classification algorithm,Regression method,Dimensionality reduction,Option_1,Intermediate
What is hierarchical clustering?,Building tree of nested clusters,Flat clustering,Supervised clustering,Random clustering,Option_1,Intermediate
What is DBSCAN?,Density-based clustering finding clusters of arbitrary shapes,K-Means variant,Supervised algorithm,Linear classifier,Option_1,Intermediate
What is Principal Component Analysis (PCA)?,Dimensionality reduction technique preserving variance,Classification algorithm,Clustering method,Feature scaling,Option_1,Intermediate
What is a Neural Network?,Computational model inspired by biological neurons,Computer network,Database structure,Programming language,Option_1,Intermediate
What is a perceptron?,Single-layer neural network for binary classification,Deep learning model,Clustering algorithm,Optimization method,Option_1,Intermediate
What is a hidden layer in neural networks?,Layer between input and output performing computations,Input layer,Output layer,Storage layer,Option_1,Intermediate
What is activation function in neural networks?,Non-linear function enabling networks to learn complex patterns,Linear function,Loss function,Optimization function,Option_1,Intermediate
What are common activation functions?,"ReLU, Sigmoid, Tanh","Linear, Quadratic, Cubic","Input, Output, Hidden","Training, Testing, Validation",Option_1,Intermediate
What is CNN (Convolutional Neural Network)?,Neural network for image recognition using convolutional filters,General neural network,Text processing network,Time series network,Option_1,Intermediate
