Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What is Data Science?,"Extracting insights from data using statistics, ML, programming",Data collection only,Data storage,Data visualization,Option_1,Beginner
What are the main components of Data Science?,"Data collection, preprocessing, analysis, modeling, visualization",Data storage only,Programming only,Statistics only,Option_1,Beginner
What is the data science workflow?,"Problem definition, data collection, EDA, modeling, evaluation, deployment",Just modeling,Only visualization,Only prediction,Option_1,Beginner
What are the roles in data science team?,"Data Engineer, Data Analyst, Data Scientist, ML Engineer",Only programmers,Only statisticians,Only analysts,Option_1,Beginner
What is the difference between data analyst and data scientist?,"Analyst explores data, Scientist builds predictive models",Same role,Analyst is higher,Scientist is lower,Option_1,Beginner
What is probability?,Likelihood of event occurring between 0 and 1,Certainty of outcome,Statistical measure,Mathematical concept,Option_1,Beginner
What is statistics?,"Science of collecting, analyzing, interpreting data",Data collection only,Data storage,Data visualization,Option_1,Beginner
What is normal distribution?,Bell-shaped probability distribution,Uniform distribution,Skewed distribution,Bimodal distribution,Option_1,Intermediate
"What is mean, median, and mode?","Mean is average, median is middle value, mode is most frequent",All are same,All are averages,Different names only,Option_1,Beginner
What is standard deviation?,Measure of data spread from mean,Average value,Range measure,Variance measure,Option_1,Intermediate
What is correlation?,Statistical relationship between variables,Causation,Covariance,Regression,Option_1,Intermediate
What is causation?,One variable directly causes another,Statistical relationship,Correlation,Association,Option_1,Intermediate
What is hypothesis testing?,Statistical method determining if hypothesis is supported,Hypothesis formation,Data collection,Model building,Option_1,Intermediate
What is p-value?,Probability of observing data assuming null hypothesis,Statistical significance,Test statistic,Confidence level,Option_1,Intermediate
What is confidence interval?,Range containing true population parameter with confidence,Probability range,Data range,Error range,Option_1,Intermediate
What is a matrix?,Rectangular array of numbers arranged in rows/columns,Single row of numbers,Single column,Square grid only,Option_1,Intermediate
What is a vector?,One-dimensional array of numbers,Two-dimensional array,Matrix,Scalar,Option_1,Intermediate
What is dot product?,Sum of products of corresponding vector elements,Vector addition,Vector multiplication,Vector division,Option_1,Intermediate
What is eigenvalue and eigenvector?,Vector unchanged in direction when multiplied by matrix,Special vector,Special value,Matrix property,Option_1,Advanced
What is matrix decomposition?,Breaking matrix into simpler components,Matrix combination,Matrix multiplication,Matrix addition,Option_1,Advanced
What is data collection?,Gathering data from sources,Data cleaning,Data storage,Data analysis,Option_1,Beginner
What are data sources?,"Databases, APIs, web scraping, sensors, surveys",Only databases,Only files,Only APIs,Option_1,Intermediate
What is missing data?,Values absent in dataset,Zero values,Negative values,Outliers,Option_1,Beginner
What are methods to handle missing data?,"Deletion, imputation, prediction",Ignoring,Replacing with zero,Dropping records,Option_1,Intermediate
What is data preprocessing?,Cleaning and transforming raw data,Data collection,Data analysis,Data modeling,Option_1,Beginner
What is data cleaning?,"Removing errors, duplicates, inconsistencies",Data collection,Data storage,Data visualization,Option_1,Beginner
