Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What does CIA stand for in cybersecurity?,"Confidentiality, Integrity, Availability",Central Intelligence Agency,Computer Information Architecture,Cyber Incident Analysis,Option_1,Beginner
Which of the following is NOT a type of cyber attack?,Phishing,DDoS,Encryption,Malware,Option_3,Beginner
What is the primary goal of a firewall?,Monitor and control incoming/outgoing network traffic,Encrypt all data,Delete viruses,Block all internet access,Option_1,Beginner
Which protocol is used for secure web communication?,HTTP,HTTPS,FTP,SMTP,Option_2,Beginner
What is a password salt?,Random data added to password before hashing,A type of firewall,An encryption algorithm,A network protocol,Option_1,Beginner
What does VPN stand for?,Virtual Private Network,Virtual Public Network,Verified Personal Network,Virtual Protection Network,Option_1,Beginner
Which port is typically used for SSH?,22,80,443,3306,Option_1,Beginner
What is the purpose of a DMZ?,To isolate internal networks from untrusted networks,To encrypt all traffic,To block all external connections,To speed up internet,Option_1,Beginner
Which of the following is a symmetric encryption algorithm?,RSA,AES,ECC,DSA,Option_2,Intermediate
What is SSL/TLS used for?,Securing web communications,Protecting databases,Blocking malware,Managing users,Option_1,Beginner
What is a zero-day vulnerability?,A vulnerability unknown to vendors before exploit,A bug found after one day,A vulnerability in legacy systems,A type of malware,Option_1,Intermediate
Which type of attack floods a server with requests to make it unavailable?,Phishing,DDoS,SQL Injection,XSS,Option_2,Intermediate
What is SQL Injection?,Inserting malicious SQL code into input fields,Injecting vaccines into SQL database,A type of firewall,A backup method,Option_1,Intermediate
What does XSS stand for?,Cross-Site Scripting,Cross Server Security,Cross-Sector Systems,Critical Security Service,Option_1,Intermediate
What is a man-in-the-middle attack?,Attacker intercepts communication between two parties,An attack on middle managers,A type of malware,A network configuration,Option_1,Intermediate
What is the main difference between symmetric and asymmetric encryption?,"Symmetric uses one key, asymmetric uses two keys",Symmetric is faster,Asymmetric is older,No difference,Option_1,Intermediate
Which algorithm is used for digital signatures?,AES,SHA-256,RSA,MD5,Option_3,Intermediate
What is a hash function's primary characteristic?,Deterministic output for same input,Reversible,Slower processing,Uses public key,Option_1,Intermediate
Which of the following is NOT a type of authentication?,Something you know,Something you are,Something you have,Something you like,Option_4,Intermediate
What is multi-factor authentication (MFA)?,Using more than one method to verify identity,Multiple passwords,Backup authentication,Network security,Option_1,Beginner
What is the difference between a virus and a worm?,"Virus needs host program, worm is independent",Same thing,Worm is older,Virus is network-based,Option_1,Intermediate
What is ransomware?,Malware that encrypts data and demands payment,A type of firewall,A backup solution,An antivirus program,Option_1,Intermediate
What is a trojan horse in cybersecurity?,Malware disguised as legitimate software,A type of network,A firewall configuration,An encryption method,Option_1,Intermediate
What is a rootkit?,Malware with administrative/root access,A toolkit for developers,A type of password,A security protocol,Option_1,Intermediate
What is the primary purpose of an antivirus?,Detect and remove malware,Encrypt data,Block all downloads,Monitor passwords,Option_1,Beginner
What does RBAC stand for?,Role-Based Access Control,Remote Basic Authentication Code,Rapid Byte Access Control,Resource Block Access Code,Option_1,Intermediate
What is the principle of least privilege?,Users should have minimum access needed for their role,Everyone has same access,Admin controls everything,No access controls needed,Option_1,Intermediate
What is an ACL (Access Control List)?,A list defining which users can access resources,A type of malware,A network protocol,A firewall rule,Option_1,Intermediate
What is OAuth used for?,Secure delegated access/authentication,Encrypting passwords,Blocking websites,Managing firewalls,Option_1,Intermediate
What is SSO (Single Sign-On)?,Users log in once to access multiple systems,Single server operation,Secure socket operation,Software security option,Option_1,Intermediate
What is the first step in a penetration test?,Reconnaissance and information gathering,Exploitation,Data exfiltration,Covering tracks,Option_1,Advanced
What is a vulnerability assessment?,Systematic review to identify security weaknesses,A type of attack,Network monitoring,Firewall configuration,Option_1,Intermediate
