Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What is Cloud Computing?,On-demand delivery of computing resources over internet,Physical servers only,Local storage only,Data center management,Option_1,Beginner
What are the main advantages of Cloud Computing?,"Scalability, cost-efficiency, flexibility, accessibility",Lower security,Complex management,Limited options,Option_1,Beginner
What are cloud service models?,"IaaS, PaaS, SaaS",Only IaaS,Only PaaS,Only SaaS,Option_1,Beginner
What is IaaS (Infrastructure as a Service)?,Cloud provider offers virtualized computing resources,Platform services only,Software applications only,Data storage only,Option_1,Beginner
What is PaaS (Platform as a Service)?,Cloud provider offers platform for building applications,Infrastructure only,Software only,Data management,Option_1,Beginner
What is SaaS (Software as a Service)?,Cloud-based software applications accessed via web,Infrastructure,Development platform,Hardware rental,Option_1,Beginner
What are cloud deployment models?,"Public, Private, Hybrid, Community",Only public,Only private,Only hybrid,Option_1,Intermediate
What is public cloud?,Services available to general public over internet,Company-owned,Shared by organizations,Single organization,Option_1,Beginner
What is private cloud?,Cloud services exclusively for single organization,Public access,Shared services,Free services,Option_1,Beginner
What is hybrid cloud?,Combination of public and private cloud,Only public,Only private,Multi-vendor setup,Option_1,Intermediate
What is AWS (Amazon Web Services)?,Comprehensive cloud computing platform by Amazon,Google cloud,Microsoft cloud,IBM cloud,Option_1,Beginner
What is EC2 in AWS?,Elastic Compute Cloud for virtual servers,Database service,Storage service,Networking service,Option_1,Beginner
What is S3 in AWS?,Simple Storage Service for object storage,Database service,Compute service,Networking service,Option_1,Beginner
What is RDS in AWS?,Relational Database Service for managed databases,Storage service,Compute service,Networking service,Option_1,Intermediate
What is Lambda in AWS?,Serverless compute service for functions,Database service,Storage service,Networking service,Option_1,Intermediate
What is CloudFront in AWS?,Content Delivery Network for fast content distribution,Database service,Storage service,Compute service,Option_1,Intermediate
What is VPC in AWS?,Virtual Private Cloud for isolated network,Virtual compute,Virtual storage,Virtual database,Option_1,Intermediate
What is IAM in AWS?,Identity and Access Management for user control,Database service,Storage service,Compute service,Option_1,Intermediate
What is CloudFormation in AWS?,Infrastructure as Code service for managing resources,Configuration management,Infrastructure provisioning,Resource billing,Option_1,Intermediate
What is auto-scaling in AWS?,Automatically adjusting resources based on demand,Load balancing,Monitoring,Security,Option_1,Intermediate
What is Microsoft Azure?,Microsoft's cloud computing platform,AWS alternative,Google Cloud,IBM Cloud,Option_1,Beginner
What are Azure Virtual Machines?,IaaS offering scalable on-demand computing,PaaS service,SaaS application,Managed database,Option_1,Beginner
What is Azure App Service?,PaaS for building web and mobile apps,IaaS offering,SaaS application,Storage service,Option_1,Intermediate
What is Azure SQL Database?,Managed relational database service,NoSQL database,Document database,Graph database,Option_1,Intermediate
What is Azure Cosmos DB?,Globally distributed NoSQL database,SQL database,Document only,Graph only,Option_1,Intermediate
What is Azure DevOps?,"Tools for CI/CD, planning, testing, deployment",Cloud storage,Compute service,Networking service,Option_1,Intermediate
What is Azure Functions?,Serverless computing for running code without servers,App Service,Virtual Machines,Kubernetes,Option_1,Intermediate
What is Azure Container Registry?,Service storing and managing Docker container images,Container orchestration,Container runtime,Image creation,Option_1,Advanced
What is Google Cloud Platform (GCP)?,Google's cloud computing services,AWS alternative,Azure competitor,IBM offering,Option_1,Beginner
What is Google Compute Engine?,IaaS for virtual machines and servers,PaaS platform,Managed database,Container service,Option_1,Beginner
What is Google App Engine?,PaaS for building scalable web applications,IaaS service,Compute Engine,Storage service,Option_1,Intermediate
What is Google Cloud SQL?,Managed relational database service,NoSQL database,Document database,Graph database,Option_1,Intermediate
What is Google Firestore?,Scalable NoSQL cloud database,SQL database,Relational database,Time-series database,Option_1,Intermediate
What is Google Cloud Storage?,Object storage for unstructured data,File storage,Block storage,Database service,Option_1,Beginner
What is GKE (Google Kubernetes Engine)?,Managed Kubernetes container orchestration,Container runtime,Container registry,Container networking,Option_1,Intermediate
What is Docker?,Containerization platform packaging applications,Virtual machine,Hypervisor,Orchestration tool,Option_1,Intermediate
What is container?,Lightweight isolated environment with all dependencies,Virtual machine,Server,Physical machine,Option_1,Intermediate
What is Docker image?,Blueprint for creating containers,Running container,Container registry,Container network,Option_1,Intermediate
What is Docker container?,Running instance of Docker image,Docker image,Container registry,Container orchestration,Option_1,Intermediate
What is Dockerfile?,File with instructions to build Docker image,Configuration file,Script file,Deployment file,Option_1,Intermediate
What is Docker Hub?,Registry for storing and sharing Docker images,Container orchestration,Container runtime,Deployment tool,Option_1,Intermediate
What is Docker Compose?,Tool for defining and running multi-container applications,Container registry,Single container tool,Orchestration platform,Option_1,Intermediate
What is Docker networking?,Connecting containers and services together,Container isolation,Image management,Container storage,Option_1,Advanced
What is Kubernetes?,Open-source container orchestration platform,Container runtime,Container registry,Configuration tool,Option_1,Intermediate
What is a Pod in Kubernetes?,Smallest deployable unit containing containers,Container,Node,Cluster,Option_1,Intermediate
What is a Service in Kubernetes?,Abstraction exposing pods as network service,Pod definition,Container specification,Network policy,Option_1,Advanced
