Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What is mobile app development?,Creating applications for smartphones and tablets,Web development only,Desktop application creation,Server-side programming,Option_1,Beginner
What are the main mobile platforms?,iOS and Android,Windows only,Linux only,Mac only,Option_1,Beginner
What is native app development?,Apps built specifically for one platform using native language,Cross-platform apps,Web apps,Hybrid apps,Option_1,Beginner
What is cross-platform app development?,Building apps for multiple platforms from single codebase,Platform-specific development,Native development,Web-only development,Option_1,Beginner
What is hybrid app development?,Using web technologies inside native shell,Pure native development,Pure web development,Desktop development,Option_1,Beginner
What is iOS?,Apple's operating system for iPhones and iPads,Android OS,Windows OS,Linux OS,Option_1,Beginner
What is Swift?,Apple's modern programming language for iOS,Objective-C replacement,Java-like language,Python variant,Option_1,Beginner
What is Objective-C?,Older programming language for iOS development,Modern language,Web language,Backend language,Option_1,Intermediate
What is Xcode?,Apple's integrated development environment for iOS,Text editor,Web browser,Database manager,Option_1,Beginner
What is UIKit?,Framework for building iOS user interfaces,Testing framework,Networking framework,Database framework,Option_1,Intermediate
What is SwiftUI?,Modern declarative UI framework for iOS,UIKit replacement,Backend framework,Networking library,Option_1,Intermediate
What is Storyboard?,Visual design tool for iOS UI,Code-based UI,Web design tool,Animation tool,Option_1,Intermediate
What is auto layout?,System for creating responsive UI layouts,Manual layout,Fixed positioning,CSS layouts,Option_1,Intermediate
What is segue in iOS?,Transition between view controllers,User action,Data model,Network request,Option_1,Intermediate
What is view controller?,Object managing view hierarchy and user interactions,Data model,Network service,File manager,Option_1,Intermediate
What is Android?,Google's operating system for mobile devices,Apple OS,Windows OS,Linux distribution,Option_1,Beginner
What is Java in Android?,Primary language for Android development,Kotlin language,C++ language,Python language,Option_1,Beginner
What is Kotlin?,Modern language for Android officially supported by Google,Java replacement,JavaScript variant,Objective-C alternative,Option_1,Beginner
What is Android Studio?,Official IDE for Android development,Text editor,Web IDE,Database tool,Option_1,Beginner
What is Android SDK?,Software development kit with tools and libraries,Emulator only,Documentation only,Testing framework,Option_1,Intermediate
What is Android Virtual Device (AVD)?,Emulator simulating Android device,Physical device,Debugging tool,Testing framework,Option_1,Intermediate
What is Activity in Android?,Component providing single screen UI,Background service,Data storage,Network service,Option_1,Beginner
What is Fragment in Android?,Reusable UI component within activity,Full-screen component,Service component,Content provider,Option_1,Intermediate
What is Service in Android?,Component for background tasks,User interface,Data storage,Network protocol,Option_1,Intermediate
What is Intent in Android?,Message for requesting action from another component,User input,Data storage,Network request,Option_1,Intermediate
What is AndroidManifest.xml?,Configuration file declaring app components,Layout file,Resource file,Code file,Option_1,Intermediate
What is R.java in Android?,Auto-generated file containing resource IDs,User class,Data model,Network interface,Option_1,Intermediate
What is ViewGroup in Android?,Container holding multiple views,Single view,Activity,Fragment,Option_1,Intermediate
What is LinearLayout?,Layout arranging views in single column/row,Grid layout,Frame layout,Constraint layout,Option_1,Intermediate
What is GridLayout?,Layout arranging views in grid,Linear layout,Frame layout,Relative layout,Option_1,Intermediate
What is RecyclerView?,Component for efficiently displaying lists/grids,ListView only,GridView only,ScrollView,Option_1,Intermediate
What is Adapter in Android?,Bridge between data and UI components,Activity,Service,Intent,Option_1,Intermediate
