Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What is IoT (Internet of Things)?,Network of physical devices connected to internet,Computer network,Internet connection,Data storage,Option_1,Beginner
What are the main components of IoT?,"Sensors, connectivity, data processing, user interface",Only sensors,Only connectivity,Only processing,Option_1,Beginner
What is a sensor in IoT?,Device detecting physical properties and converting to signals,Actuator,Controller,Gateway,Option_1,Beginner
What is an actuator in IoT?,Device that performs physical action based on commands,Sensor,Processor,Network device,Option_1,Beginner
What is a microcontroller?,Small computer on single chip controlling IoT device,Laptop,Server,Phone,Option_1,Beginner
What is Arduino?,Open-source microcontroller platform for IoT projects,Microchip brand,Programming language,Operating system,Option_1,Beginner
What is Raspberry Pi?,Single-board computer for IoT and embedded systems,Microcontroller,Sensor device,Network device,Option_1,Beginner
What is IoT gateway?,Device connecting IoT network to internet,Firewall,Router,Switch,Option_1,Intermediate
What are IoT applications?,"Smart homes, healthcare, agriculture, industrial automation",Only smart homes,Only healthcare,Only industrial,Option_1,Beginner
What is edge computing in IoT?,Processing data locally on edge devices,Cloud processing,Server processing,Remote processing,Option_1,Intermediate
What is WiFi in IoT?,Wireless technology for local network connectivity,Cellular technology,Satellite technology,Bluetooth,Option_1,Beginner
What is Bluetooth in IoT?,Short-range wireless technology for device communication,Long-range wireless,WiFi technology,Cellular,Option_1,Beginner
What is BLE (Bluetooth Low Energy)?,Low-power Bluetooth for IoT devices,Regular Bluetooth,WiFi variant,Cellular technology,Option_1,Intermediate
What is Zigbee?,Low-power wireless technology for mesh networks,WiFi,Cellular,Bluetooth,Option_1,Intermediate
What is LoRaWAN?,Long-range wide-area network for IoT,Short-range network,WiFi network,Cellular network,Option_1,Intermediate
What is NB-IoT?,Narrowband cellular technology for IoT,Broadband,WiFi,Bluetooth,Option_1,Intermediate
What is LTE-M (Cat-M)?,Cellular technology optimized for IoT,WiFi variant,Bluetooth variant,Satellite technology,Option_1,Intermediate
What is 5G in IoT?,Fifth generation wireless with low latency,Fourth generation,Previous standard,WiFi technology,Option_1,Intermediate
What is MQTT?,Lightweight messaging protocol for IoT,HTTP protocol,FTP protocol,Bluetooth protocol,Option_1,Intermediate
What is CoAP?,Constrained Application Protocol for IoT,HTTP protocol,MQTT protocol,REST protocol,Option_1,Advanced
What is ATmega328P?,Microcontroller used in Arduino Uno,Raspberry Pi processor,STM32 variant,ARM processor,Option_1,Intermediate
What is STM32?,ARM-based microcontroller for IoT,AVR microcontroller,Arduino chip,Raspberry Pi,Option_1,Intermediate
What is ARM Cortex?,Processor architecture for embedded systems,AVR architecture,MIPS architecture,x86 architecture,Option_1,Intermediate
What is PWM (Pulse Width Modulation)?,Technique controlling device power and behavior,Digital signal,Analog signal,Data encoding,Option_1,Intermediate
