id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
1,Frontend Developer,Senior Frontend Developer,Cobalt Platforms,"San Francisco, CA",Full-time (Remote),"$130,000 – $160,000",We are looking for a talented Senior Frontend Developer to join our product engineering team and help build world-class web experiences.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs""]","[""WebAssembly"", ""PWA"", ""Nx Monorepo"", ""Chromatic""]",3-5 years,"[""Build responsive user interfaces using React and TypeScript"", ""Collaborate with UX designers to implement pixel-perfect designs"", ""Write unit and integration tests using Jest and React Testing Library"", ""Optimize application performance through lazy loading and code splitting"", ""Participate in code reviews and mentor junior developers""]"
2,Backend Developer,Lead Backend Developer,BlueSky Analytics,Singapore,Full-time (Hybrid),"$200,000 – $250,000",Join our engineering team as a Lead Backend Developer and help design robust APIs and microservices.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes""]","[""AWS"", ""Microservices"", ""JUnit"", ""Prometheus""]",3-5 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
3,Full Stack Developer,MEAN Stack Developer,Cobalt Platforms,"Denver, CO",Full-time,"$110,000 – $130,000",Join us as a MEAN Stack Developer and help shape the full stack architecture of our growing platform.,"[""React"", ""Node.js"", ""PostgreSQL"", ""REST APIs"", ""Git""]","[""Jest"", ""Cypress"", ""Kafka"", ""Helm"", ""Pair Programming""]",5-7 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
4,Data Scientist,Research Data Scientist,Cascade Data,"Amsterdam, Netherlands",Contract-to-Hire,"$80,000 – $100,000","Join our data science team as a Research Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""PyTorch"", ""A/B Testing"", ""SQL"", ""Matplotlib"", ""Code Review""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark""]",2-4 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
5,Machine Learning Engineer,ML Engineer,Meridian Cloud,"Toronto, Canada",Contract-to-Hire,"$130,000 – $160,000",We're looking for a ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""TensorFlow"", ""Spark"", ""Airflow"", ""PostgreSQL"", ""Linux""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex"", ""PagerDuty"", ""New Relic""]",3-5 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
6,DevOps Engineer,Release Engineer,Cobalt Platforms,"Bangalore, India",Full-time (Hybrid),"$70,000 – $90,000",We are looking for a Release Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Docker"", ""Kubernetes"", ""CI/CD"", ""Linux"", ""Git""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""Swagger""]",7+ years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
7,Cloud Engineer,Cloud Platform Engineer,Stratos AI,Hybrid – SF,Full-time (Hybrid),"$90,000 – $110,000","As a Cloud Platform Engineer, you will own our cloud environment and drive best practices across teams.","[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco"", ""PagerDuty"", ""Postman""]",3-5 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
8,Mobile App Developer,iOS Developer,Synapse AI,"Chicago, IL",Contract-to-Hire,"$150,000 – $180,000","We are looking for a iOS Developer to build beautiful, performant mobile experiences for our users.","[""Swift"", ""Kotlin"", ""React Native"", ""CI/CD"", ""App Store Connect"", ""Confluence""]","[""Espresso"", ""Detox"", ""Firebase"", ""Bitrise"", ""BDD""]",4-6 years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
9,Cybersecurity Analyst,Information Security Analyst,DataVault Inc.,"Amsterdam, Netherlands",Full-time (Remote),"$90,000 – $110,000",We are hiring a Information Security Analyst to protect our infrastructure and customer data from evolving cyber threats.,"[""Splunk"", ""Wireshark"", ""Vulnerability Scanning"", ""Python"", ""OWASP""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform"", ""BDD""]",4-6 years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
10,Data Analyst,Marketing Data Analyst,Meridian Cloud,Hybrid – NYC,Contract,"$160,000 – $200,000",We're looking for a Marketing Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Snowflake"", ""dbt"", ""Metabase"", ""Python"", ""Jira"", ""Unit Testing""]","[""R"", ""Airflow"", ""BigQuery"", ""Segment"", ""New Relic""]",1-3 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
