Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What is blockchain?,Distributed ledger technology recording transactions,Database technology,Encryption method,Network protocol,Option_1,Beginner
What are the main characteristics of blockchain?,"Decentralized, transparent, immutable, secure",Centralized,Opaque,Mutable,Option_1,Beginner
What is a block in blockchain?,Unit containing transactions and cryptographic hash,Single transaction,Network node,Smart contract,Option_1,Beginner
What is a chain in blockchain?,Connected blocks linked by cryptographic hashes,Linked list,Database table,Transaction log,Option_1,Beginner
What is decentralization in blockchain?,No single authority controlling the network,Single server,Centralized database,Admin control,Option_1,Beginner
What is immutability in blockchain?,"Once recorded, data cannot be changed",Data can be modified,Temporary records,Editable ledger,Option_1,Beginner
What is transparency in blockchain?,All transactions visible to network participants,Hidden transactions,Private ledger,Secret records,Option_1,Beginner
What is a cryptocurrency?,Digital currency secured by cryptography,Physical money,Bank notes,Commodity,Option_1,Beginner
What is Bitcoin?,First decentralized cryptocurrency using blockchain,Digital coin,Electronic money,Virtual currency,Option_1,Beginner
What is Ethereum?,Blockchain platform enabling smart contracts,Cryptocurrency only,Bitcoin alternative,Payment system,Option_1,Beginner
What is cryptography?,Technique securing communication through codes,Encoding method,Encryption algorithm,Security protocol,Option_1,Beginner
What is hash function?,Converting input to fixed-length hash output,Encryption function,Random number,Sorting algorithm,Option_1,Intermediate
What is SHA-256?,Secure Hash Algorithm producing 256-bit hash,Encryption algorithm,Random generator,Compression function,Option_1,Intermediate
What is public key cryptography?,Using public and private key pairs,Single key system,Password-based,Shared secret,Option_1,Intermediate
What is digital signature?,Proving identity and authenticity of message,Electronic signature,Image signature,Written signature,Option_1,Intermediate
What is ECDSA?,Elliptic Curve Digital Signature Algorithm,RSA algorithm,AES encryption,DES encryption,Option_1,Intermediate
What is Merkle tree?,Tree of hashes allowing efficient verification,Binary tree,Database structure,File system,Option_1,Intermediate
What is Merkle root?,Top hash representing all transactions in block,Tree root,First hash,Main hash,Option_1,Intermediate
What is Bitcoin mining?,Process validating transactions and creating blocks,Gold mining,Data extraction,Resource harvesting,Option_1,Intermediate
What is proof of work?,Consensus mechanism requiring computational work,Work proof,Validation method,Authentication,Option_1,Intermediate
What is a Bitcoin transaction?,Transfer of bitcoins from one address to another,Bitcoin creation,Mining process,Wallet operation,Option_1,Beginner
What is a Bitcoin address?,Identifier receiving or sending bitcoins,Account number,User ID,Transaction ID,Option_1,Beginner
What is a Bitcoin wallet?,Software storing private and public keys,Physical wallet,Digital account,Bank account,Option_1,Beginner
What is private key?,Secret key for signing transactions,Public key,Shared secret,Access token,Option_1,Intermediate
What is public key?,Key derived from private key for receiving funds,Private key,Shared key,Master key,Option_1,Intermediate
What is a Bitcoin address format?,Base58Check encoded hash of public key,Random string,User input,System generated,Option_1,Intermediate
What is double spending?,Spending same bitcoin twice - prevented by blockchain,Spending twice,Multiple transactions,Concurrent spending,Option_1,Intermediate
What is Bitcoin supply limit?,21 million bitcoins maximum,Unlimited,Variable amount,Government controlled,Option_1,Beginner
What is consensus mechanism?,Method validating transactions and creating blocks,Validation protocol,Security method,Network rule,Option_1,Intermediate
What is proof of work (PoW)?,Miners solve puzzles to validate blocks,Stake requirement,Coin requirement,Network speed,Option_1,Intermediate
What is proof of stake (PoS)?,Validators chosen based on stake ownership,Computational work,Mining process,Hash calculation,Option_1,Intermediate
What is delegated proof of stake (DPoS)?,Token holders delegate to validators,Direct stake,Proof of work,Proof of authority,Option_1,Advanced
What is proof of authority (PoA)?,Approved validators sign blocks,Computational work,Stake-based,Proof of work,Option_1,Advanced
What is byzantine fault tolerance?,Consensus despite some nodes being faulty,Fault detection,Error correction,Network failure,Option_1,Advanced
What is practical Byzantine fault tolerance (PBFT)?,Consensus algorithm for network with bad nodes,Simple consensus,Basic algorithm,Voting system,Option_1,Advanced
What is block time?,Average time between block creation,Mining time,Transaction time,Processing time,Option_1,Intermediate
What is mining reward?,Incentive for miners to validate blocks,Transaction fee,Mining cost,Block subsidy,Option_1,Beginner
What is difficulty in mining?,Target hash difficulty requiring more computational work,Mining complexity,Puzzle difficulty,Hash rate,Option_1,Intermediate
What is Ethereum?,Blockchain platform for smart contracts,Cryptocurrency,Payment system,Database,Option_1,Beginner
What is a smart contract?,Self-executing code running on blockchain,Regular contract,Legal agreement,Written document,Option_1,Intermediate
What is Solidity?,Programming language for Ethereum smart contracts,Scripting language,Backend language,Web language,Option_1,Intermediate
What is EVM (Ethereum Virtual Machine)?,Executes smart contracts code,Virtual computer,Emulator,Simulator,Option_1,Intermediate
What is gas in Ethereum?,Unit of computational cost for operations,Fuel cost,Transaction fee,Mining reward,Option_1,Intermediate
What is gas limit?,Maximum gas allowed per transaction,Minimum gas,Total gas,Average gas,Option_1,Intermediate
What is gas price?,Price per unit of gas in wei/gwei,Total gas cost,Transaction fee,Block reward,Option_1,Intermediate
What is wei?,Smallest unit of ether,Ether unit,Gwei,Ethereum token,Option_1,Intermediate
What is gwei?,"Billion wei, used for gas prices",Million wei,Thousand wei,Ether subunit,Option_1,Intermediate
What is ether (ETH)?,Native cryptocurrency of Ethereum,Token,Smart contract,Ethereum address,Option_1,Beginner
What is account in Ethereum?,Entity with ether balance and nonce,User account,Wallet account,Bank account,Option_1,Intermediate
What is EOA (Externally Owned Account)?,Account controlled by private key,Smart contract account,Contract,Application,Option_1,Intermediate
What is contract account?,Account containing smart contract code,EOA account,User account,External account,Option_1,Intermediate
What is nonce in Ethereum?,Counter preventing replay attacks,Random number,Account ID,Transaction ID,Option_1,Advanced
What is reentrancy attack?,Exploit calling function recursively draining funds,Security feature,Validation mechanism,Protection method,Option_1,Advanced
What is ERC-20?,Standard for fungible tokens on Ethereum,Ethereum version,Blockchain standard,Protocol specification,Option_1,Intermediate
What is ERC-721?,Standard for non-fungible tokens (NFTs),Fungible token,ERC-20 variant,Ethereum standard,Option_1,Intermediate
What is ERC-1155?,Standard for multi-token contracts,Single token,ERC-721 variant,ERC-20 upgrade,Option_1,Advanced
What is a token?,Digital representation of value on blockchain,Cryptocurrency,Coin,Asset,Option_1,Beginner
What is fungible token?,Interchangeable tokens of equal value,Unique token,Special token,Rare token,Option_1,Intermediate
What is non-fungible token (NFT)?,Unique tokens with distinct properties,Identical tokens,Interchangeable tokens,Duplicate tokens,Option_1,Beginner
What is a stablecoin?,Cryptocurrency pegged to stable asset,Volatile coin,Speculative token,Risk token,Option_1,Intermediate
What is USDC?,Stablecoin pegged to US dollar,Utility coin,Native token,Bitcoin variant,Option_1,Intermediate
What is Tether (USDT)?,Stablecoin pegged to US dollar,ETH stablecoin,BTC variant,Altcoin,Option_1,Intermediate
What is DeFi?,Financial services using blockchain without intermediaries,Centralized finance,Traditional banking,Regular finance,Option_1,Intermediate
What is DEX (Decentralized Exchange)?,Peer-to-peer trading without central authority,Centralized exchange,Stock exchange,Bank,Option_1,Intermediate
What is AMM (Automated Market Maker)?,Protocol using pools for token swaps,Manual market making,Order matching,Price discovery,Option_1,Advanced
What is liquidity pool?,Collection of tokens locked for trading,Individual wallet,Token reserve,Vault storage,Option_1,Intermediate
What is liquidity provider (LP)?,User supplying tokens to liquidity pool,Exchange operator,Market maker,Trader,Option_1,Intermediate
What is slippage?,Price difference between quote and execution,Transaction fee,Gas cost,Spread,Option_1,Advanced
What is impermanent loss?,Loss from price divergence in LP pools,Trading loss,Permanent loss,Fixed loss,Option_1,Advanced
What is yield farming?,Earning returns by providing liquidity,Traditional farming,Agriculture,Staking,Option_1,Intermediate
What is lending protocol?,Platform for borrowing/lending crypto assets,Peer-to-peer lending,Traditional loan,Bank lending,Option_1,Intermediate
What is collateral?,Asset securing a loan,Loan amount,Interest payment,Insurance,Option_1,Beginner
What is liquidation?,Forced sale of collateral when price drops,Asset sale,Portfolio closure,Trading exit,Option_1,Advanced
What is governance token?,Token granting voting rights in protocol,Utility token,Payment token,Asset token,Option_1,Intermediate
