Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Level
What does Generative AI refer to?,"AI systems that create new content (text, images, code)",AI that analyzes existing data only,AI that classifies images,AI for robotics control,Option_1,Beginner
What is the primary difference between Generative AI and Discriminative AI?,"Generative models data distribution, Discriminative learn boundaries",Generative is faster,Discriminative is older,No difference,Option_1,Beginner
Which of the following is a Generative AI application?,ChatGPT,Image classification model,Spam detection,Face recognition,Option_1,Beginner
What is prompt engineering?,Crafting inputs to guide AI outputs effectively,Writing code for AI,Training neural networks,Data preprocessing,Option_1,Beginner
What is the purpose of a prompt?,To provide instructions/context to AI model,To test model speed,To verify correctness,To train the model,Option_1,Beginner
What is LLM?,Large Language Model trained on vast text data,Linear Learning Model,Low-Level Management,Linguistic Language Module,Option_1,Beginner
What are common applications of LLMs?,"Chatbots, text generation, translation, summarization",Image generation only,Video processing only,Audio synthesis only,Option_1,Beginner
What does GPT stand for?,Generative Pre-trained Transformer,General Purpose Tool,Gradient Processing Technology,Global Parameter Tuning,Option_1,Beginner
What does BERT stand for?,Bidirectional Encoder Representations from Transformers,Basic Encoder for Text Recognition,Binary Encoding Representation,Base Embedding Representation Technology,Option_1,Intermediate
What is the difference between GPT and BERT?,"GPT is autoregressive, BERT is bidirectional",GPT is faster,BERT generates text,No difference,Option_1,Intermediate
What is the Transformer architecture?,Deep learning architecture using self-attention mechanism,Recurrent neural network,Convolutional network,Fully connected network,Option_1,Intermediate
What is the 'Attention is All You Need' paper about?,Introducing Transformer architecture with self-attention,Attention mechanisms only,Feature attention,Memory attention,Option_1,Intermediate
What is self-attention?,Mechanism relating different positions in sequence,Attention to input only,Attention to output only,Human attention,Option_1,Intermediate
What is the purpose of positional encoding in Transformers?,Provides sequence position information to model,Encodes data type,Normalizes features,Compresses input,Option_1,Intermediate
What is multi-head attention?,Multiple parallel attention mechanisms,Single attention head,Sequential attention,Hierarchical attention,Option_1,Intermediate
What is a token in LLMs?,Subword unit (word/part of word) processed by model,Token of appreciation,Security token,Blockchain token,Option_1,Beginner
What is tokenization?,Converting text into tokens for model processing,Sorting words,Removing punctuation,Converting to lowercase,Option_1,Beginner
What is vocabulary in LLMs?,Complete set of tokens model can process,Knowledge of words,Embeddings,Token frequencies,Option_1,Intermediate
What is pre-training in LLMs?,Training on large corpus before task-specific training,First attempt at training,Quick training,Training on small data,Option_1,Intermediate
What is fine-tuning?,Adapting pre-trained model to specific task,Training from scratch,Reducing model size,Adding layers,Option_1,Intermediate
What is the purpose of pre-training?,Learn general language patterns from large data,Reduce training time,Improve accuracy only,Reduce model size,Option_1,Intermediate
What is supervised fine-tuning (SFT)?,Fine-tuning with labeled examples for specific task,Unsupervised fine-tuning,Pre-training,Transfer learning,Option_1,Intermediate
What is instruction tuning?,Training model to follow human instructions,Following instructions only,Instruction reading,Query optimization,Option_1,Intermediate
What is few-shot learning?,Model learning from few examples in prompt,Zero-shot learning,One-shot learning,Many samples,Option_1,Intermediate
What is zero-shot learning?,Model performing task without specific examples,Few-shot learning,One-shot learning,Pre-training,Option_1,Intermediate
What is one-shot learning?,Learning from single example in prompt,Zero-shot learning,Few-shot learning,Multiple examples,Option_1,Intermediate
What is chain-of-thought prompting?,Guiding model through step-by-step reasoning,Direct prompting,Question answering,Summarization,Option_1,Intermediate
What is in-context learning?,Model learning from examples in prompt without updating weights,Learning by training,Fine-tuning,Pre-training,Option_1,Advanced
What is retrieval augmented generation (RAG)?,Combining retrieval with generation for accurate responses,Pure generation,Pure retrieval,Fusion only,Option_1,Intermediate
What is the benefit of RAG?,"Grounds generation in retrieved documents, reduces hallucination",Faster processing,Larger model,More parameters,Option_1,Intermediate
What are vector databases in RAG?,Storing embeddings for semantic search and retrieval,Text databases,Relational databases,Graph databases,Option_1,Intermediate
What is ChatGPT?,Conversational AI model by OpenAI based on GPT,Text classification model,Image generation model,Video model,Option_1,Beginner
What is DALL-E?,Image generation model by OpenAI,Text generation model,Audio synthesis model,Video model,Option_1,Beginner
What is Claude?,Large language model by Anthropic,Computer vision model,Speech recognition model,Recommendation system,Option_1,Beginner
What is Llama?,Large language model by Meta,Computer vision model,Image generation model,Speech model,Option_1,Intermediate
What is Stable Diffusion?,Text-to-image generation model using diffusion,Text generation model,Audio model,Video model,Option_1,Intermediate
What is Mistral?,Efficient large language model,Image model,Video model,Audio model,Option_1,Intermediate
What is Gemini?,Multimodal AI model by Google,Text-only model,Image-only model,Audio-only model,Option_1,Intermediate
What is an embedding?,Vector representation capturing semantic meaning,Text representation,Image pixels,Audio samples,Option_1,Intermediate
What is semantic similarity?,Measure of meaning similarity between text/embeddings,Word similarity,Character similarity,Byte similarity,Option_1,Intermediate
What is cosine similarity?,Measuring angle between two vectors,Distance metric,Euclidean distance,Manhattan distance,Option_1,Intermediate
What is embedding dimension?,"Size of embedding vectors (e.g., 768, 1536)",Text length,Vocabulary size,Model size,Option_1,Intermediate
What is a dense vector?,Vector with many non-zero values,Vector with few non-zero values,Sparse vector,One-hot vector,Option_1,Advanced
What is a sparse vector?,Vector with mostly zero values,Dense vector,Embedding vector,Output vector,Option_1,Advanced
What is a diffusion model?,Generative model using iterative noise removal,Direct generation model,Classification model,Clustering model,Option_1,Intermediate
How do diffusion models generate images?,"Starting from noise, iteratively removing noise",Direct output,Sampling from distribution,Interpolating features,Option_1,Intermediate
What is the forward process in diffusion?,Gradually adding noise to image,Removing noise,Generating image,Sampling process,Option_1,Intermediate
